Id,Country,Year,Female_Under18,Female_Over18,Male_Under18,Male_Over18,Total_Under18,Total_Over18,VALUE
381,Azerbaijan,2023,0.015931324696857277,0.042075037019905115,0.019562729590993862,0.05166567045826584,0.03209693358043305,0.08476882458422061,64.22877
382,Azerbaijan,2024,0.01657495021461032,0.04377486851550931,0.020353063866470022,0.05375296354477981,0.03339364969708255,0.08819348509742315,65.11825
383,Azerbaijan,2025,0.01723132079212084,0.04550836004072938,0.02115904832561898,0.05588158916766037,0.0347160433605964,0.09168596067029304,65.060326
384,Azerbaijan,2026,0.017900436429388825,0.047275511595565395,0.02198068296844069,0.05805154732690751,0.03606411457097455,0.09524625130283029,63.52754
385,Azerbaijan,2027,0.018582297126414325,0.04907632318001736,0.022817967794935237,0.060262838022521324,0.037437863328217094,0.09887435699503498,63.269608
386,Azerbaijan,2028,0.01927690288319731,0.05091079479408522,0.02367090280510257,0.06251546125450169,0.03883728963232398,0.10257027774690698,63.070328
387,Azerbaijan,2029,0.019984253699737775,0.052778926437769026,0.0245394879989427,0.06480941702284872,0.040262393483295224,0.10633401355844642,62.82386
388,United States of America,2023,0.05803983643318821,0.06881866319935173,0.02286417798883171,0.02711038247247188,0.09453458206920808,0.11209100445348957,81.36867
389,United States of America,2024,0.060384645825089026,0.07159893719260556,0.023787890779580514,0.02820564192435975,0.09835377918480412,0.11661948103341058,81.75386
390,United States of America,2025,0.06277588708613635,0.07443426611641885,0.024729894912720384,0.029322589682225612,0.10224860396605544,0.12123763041689437,81.68429
391,United States of America,2026,0.06521356021633028,0.07732464997079164,0.02569019038825132,0.030461225746069433,0.10621905641296221,0.12594545260394094,81.27557
392,United States of America,2027,0.06769766521567075,0.08027008875572389,0.026668777206173323,0.031621550115891225,0.11026513652552435,0.1307429475945503,80.75619
393,United States of America,2028,0.07022820208415777,0.08327058247121562,0.027665655366486387,0.032803562791691,0.11438684430374182,0.13563011538872244,80.153336
394,United States of America,2029,0.07280517082179132,0.08632613111726682,0.0286808248691905,0.03400726377346873,0.11858417974761465,0.14060695598645734,79.47336
395,Poland,2023,0.03576690545140474,0.08074649867059559,0.035487476502565646,0.08011566664973158,0.064548087181832,0.14572219681959048,36.35135
396,Poland,2024,0.03721188843164152,0.08400865721688766,0.036921170553269315,0.08335233958238071,0.06715582990397805,0.15160937357110196,35.04504
397,Poland,2025,0.03868548493623938,0.08733541296211621,0.03838325458517501,0.08665310504834968,0.0698152110958695,0.15761312808006908,33.881405
398,Poland,2026,0.04018769496519839,0.09072676590628122,0.03987372859828277,0.09001796304763836,0.07252623075750646,0.16373346034649186,33.380928
399,Poland,2027,0.04171851851851851,0.09418271604938272,0.04139259259259258,0.0934469135802469,0.07528888888888888,0.16997037037037038,33.049583
400,Poland,2028,0.043277955596199756,0.09770326339142066,0.042939846568104435,0.09693995664617516,0.07810318549001677,0.1763238581517045,33.70259
401,Poland,2029,0.04486600619824212,0.10128840793239513,0.04451549052481835,0.10049709224542329,0.08096912056089008,0.18279392369049435,34.249424
402,United Kingdom (Northern Ireland),2023,0.03004738902497652,0.08942675305052537,0.03605686682997183,0.10731210366063046,0.03437421304457314,0.10230420548980103,14.280836
403,United Kingdom (Northern Ireland),2024,0.03126130354158557,0.09303959387376663,0.037513564249902674,0.11164751264851992,0.0357629312515739,0.10643729539158904,15.167146
404,United Kingdom (Northern Ireland),2025,0.032499255969414616,0.09672397609944824,0.03899910716329754,0.11606877131933789,0.03717914882901032,0.1106522286577688,15.21697
405,United Kingdom (Northern Ireland),2026,0.033761246308463624,0.10047989972757032,0.04051349557015635,0.12057587967308439,0.03862286577688239,0.11494900528834046,15.144233
406,United Kingdom (Northern Ireland),2027,0.03504727455873262,0.10430736475813283,0.04205672947047914,0.1251688377097594,0.04009408209519011,0.11932762528330396,15.136573
407,United Kingdom (Northern Ireland),2028,0.036357340720221606,0.10820637119113571,0.04362880886426593,0.12984764542936286,0.04159279778393352,0.12378808864265926,14.90528
408,United Kingdom (Northern Ireland),2029,0.037691444792930566,0.11217691902657909,0.04522973375151667,0.13461230283189488,0.04311901284311256,0.12833039536640645,14.558014
409,Dominican Republic,2023,0.04139030055204891,0.08048113996231736,0.03770046755709881,0.07330646469435884,0.041069445509009775,0.07985725515640792,42.503494
410,Dominican Republic,2024,0.04306246869435167,0.08373257801679498,0.03922356644640558,0.07626804586801092,0.04272865110757374,0.08308348826472679,40.71699
411,Dominican Republic,2025,0.0447677490770961,0.08704840098324242,0.040776825709758074,0.07928827221341848,0.04442071226254497,0.08637360717717077,39.623158
412,Dominican Republic,2026,0.04650614170028217,0.09042860886165976,0.04236024534715624,0.08236714373058156,0.046145628973923394,0.08972761189373991,38.75692
413,Dominican Republic,2027,0.04827764656390985,0.09387320165204696,0.043973825358600054,0.08550466041950014,0.047903401241709005,0.0931455024144342,38.037136
414,Dominican Republic,2028,0.0500822636679792,0.09738217935440399,0.04561756574408959,0.08870082228017419,0.04969402906590185,0.09662727873925357,37.497253
415,Dominican Republic,2029,0.05191999301249016,0.10095554196873088,0.04729146650362475,0.0919556293126037,0.05151751244650186,0.10017294086819808,37.779774
416,"China, Macao Special Administrative Region",2024,0.0009037007648394135,0.02439992065066455,0.0008816592827701594,0.02380480063479468,0.0029094756331415265,0.07855584209482244,29.197235
417,"China, Macao Special Administrative Region",2025,0.0009402102757389212,0.025385677444951384,0.0009172783177940695,0.024766514580440373,0.0030270184487204304,0.08172949811545327,28.778515
418,"China, Macao Special Administrative Region",2026,0.0009774427472503207,0.02639095417575876,0.0009536026802442155,0.025747272366593913,0.003146888844805911,0.08496599880975991,28.395294
419,"China, Macao Special Administrative Region",2027,0.001015398179373572,0.027415750843086673,0.0009906323701205579,0.02674707399325528,0.0032690868213978417,0.08826534417774246,28.031929
420,"China, Macao Special Administrative Region",2028,0.0010540765721086945,0.02846006744693513,0.0010283673874231167,0.027765919460424515,0.003393612378496285,0.0916275342194009,27.50313
421,"China, Macao Special Administrative Region",2029,0.001093477925455688,0.02952390398730409,0.001066807732151891,0.02880380876810155,0.0035204655161012403,0.09505256893473514,27.703875
422,United Kingdom (Scotland),2023,0.02079697888981358,0.08516858021542711,0.02731169516855037,0.11184789449977778,0.02443018604526294,0.10004742856631496,17.962399
423,United Kingdom (Scotland),2024,0.021637176836962035,0.08860939085613033,0.02841508765335979,0.11636654943756877,0.02541716556149155,0.10408934468039407,16.936102
424,United Kingdom (Scotland),2025,0.02249401236722238,0.09211833636100598,0.029540329494304084,0.12097468269095964,0.026423689226556406,0.10821129873732628,15.056664
425,United Kingdom (Scotland),2026,0.023367485480594537,0.0956954167300539,0.030687420691383187,0.1256722942599503,0.027449757040457438,0.11241329073711151,13.751166
426,United Kingdom (Scotland),2027,0.02425759617707858,0.0993406319632742,0.03185636124459717,0.1304593841445408,0.02849536900319471,0.11669532067974979,12.769952
427,United Kingdom (Scotland),2028,0.025164344456674436,0.10305398206066682,0.03304715115394595,0.13533595234473114,0.029560525114768164,0.12105738856524115,12.515454
428,United Kingdom (Scotland),2029,0.026087730319382153,0.10683546702223178,0.03425979041942958,0.14030199886052128,0.03064522537517783,0.12549949439358554,12.636533
429,Albania,2023,0.02783762525221435,0.03827673472179473,0.030094730002393887,0.041380253753291595,0.07072261550562566,0.09724359632023527,62.179344
430,Albania,2024,0.028962265312403795,0.039823114804555235,0.03131055709449058,0.043052016004924566,0.07357980917205288,0.10117223761157276,62.335835
431,Albania,2025,0.03010917547279502,0.04140011627509318,0.032550459970589224,0.0447568824595602,0.07649358093088467,0.10517867377996647,62.094128
432,Albania,2026,0.03127835573338803,0.04300773913340856,0.03381443863068977,0.04649485311719845,0.07946393078212095,0.10926290482541635,60.939846
433,Albania,2027,0.03246980609418282,0.04464598337950139,0.035102493074792226,0.04826592797783933,0.08249085872576176,0.11342493074792245,58.81632
434,Albania,2028,0.03368352655517936,0.04631484901337162,0.03641462330289661,0.05007010704148284,0.08557436476180705,0.1176647515474847,57.089844
435,Albania,2029,0.03491951711637769,0.04801433603501931,0.037750829315002905,0.051907390308128985,0.08871444889025684,0.12198236722410313,55.17139
436,Guatemala,2022,0.0319596770028064,0.07844647991597942,0.028882078476610222,0.07089237444258878,0.053266128338010664,0.130744133193299,70.81714
437,Guatemala,2023,0.033250847953719784,0.08161571770458494,0.03004891444706529,0.07375642637006935,0.05541807992286633,0.13602619617430828,68.918106
438,Guatemala,2024,0.0345675866462354,0.08484771267712331,0.03123885608030163,0.07667719219710405,0.05761264441039235,0.14141285446187218,67.13836
439,Guatemala,2025,0.035909893080353285,0.08814246483359443,0.032451903376319265,0.07965467192369273,0.05984982180058882,0.14690410805599075,65.62855
440,Guatemala,2026,0.03727776725607339,0.09149997417399837,0.03368805633511818,0.08268886554983557,0.062129612093455654,0.15249995695666396,64.31496
441,Guatemala,2027,0.03867120917339576,0.09492024069833506,0.03494731495669839,0.08577977307553242,0.06445201528899296,0.1582004011638918,63.12734
442,Guatemala,2028,0.04009021883232038,0.09840326440660457,0.0362296792410599,0.08892739450078338,0.06681703138720065,0.16400544067767428,62.05037
443,Guatemala,2029,0.04153479623284722,0.10194904529880683,0.03753514918820268,0.09213172982558841,0.06922466038807872,0.1699150754980114,61.06868
444,Latvia,2024,0.029647241972514546,0.08854108751250972,0.030252287727055658,0.09034804848215278,0.03472962631065989,0.10371955965751138,33.9206
445,Latvia,2025,0.030844990548204127,0.09211814744801507,0.0314744801512287,0.09399810964083172,0.036132703213610555,0.10790982986767482,33.502224
446,Latvia,2026,0.03206645691747176,0.0957660402535305,0.032720874405583425,0.09772044923829641,0.03756356381760977,0.1121830757255643,33.01274
447,Latvia,2027,0.03331164108031737,0.0994847659290559,0.03399147049011977,0.10151506727454686,0.03902220812265749,0.11653929723117977,32.918472
448,Latvia,2028,0.03458054303674099,0.10327432447459133,0.03528626840483775,0.10538196374958299,0.04050863612875374,0.12097849438452128,32.990654
449,Latvia,2029,0.03587316278674263,0.10713471589013678,0.03660526814973738,0.10932113866340487,0.04202284783589851,0.12550066718558878,33.064735
450,Luxembourg,2023,0.01748971193415638,0.057613168724279816,0.018947187928669406,0.0624142661179698,0.04226680384087792,0.13923182441700957,15.253408
451,Luxembourg,2024,0.018196296296296273,0.05994074074074072,0.019712654320987632,0.06493580246913579,0.043974382716049344,0.14485679012345679,15.528472
452,Luxembourg,2025,0.018916872427983525,0.06231440329218106,0.020493278463648814,0.06750727023319614,0.04571577503429353,0.1505931412894376,16.183723
453,Luxembourg,2026,0.019651440329218096,0.0647341563786008,0.021289060356652942,0.07012866941015089,0.04749098079561042,0.156440877914952,16.994577
454,Luxembourg,2027,0.0204,0.06720000000000001,0.0221,0.0728,0.04930000000000001,0.16240000000000004,17.785711
455,Luxembourg,2028,0.021162551440329195,0.0697119341563786,0.022926097393689962,0.07552126200274348,0.05114283264746224,0.16847050754458168,18.540754
456,Luxembourg,2029,0.02193909465020575,0.07226995884773664,0.023767352537722893,0.07829245541838134,0.05301947873799724,0.1746524005486969,19.078588
457,El Salvador,2023,0.04574984641476397,0.09792072390528425,0.03650587059808222,0.07813537215729877,0.05139023843850199,0.10999314192100423,44.985546
458,El Salvador,2024,0.047598140209920405,0.10187672115105777,0.03798070777024472,0.08129204119245363,0.053466404071417443,0.11443686485461282,44.650635
459,El Salvador,2025,0.0494830338822087,0.10591105497595546,0.039484749638885715,0.08451121852533434,0.055583681895083746,0.11896858230175819,43.705284
460,El Salvador,2026,0.0514045274316288,0.11002372537997741,0.04101799620400518,0.0877929041559409,0.05774207190950085,0.1235882942624404,42.472904
461,El Salvador,2027,0.05336262085818067,0.11421473236312357,0.042580447465603084,0.09113709808427328,0.059941574114668716,0.1282960007366594,41.208942
462,El Salvador,2028,0.05535731416186441,0.118484075925394,0.04417210342367948,0.09454380031033152,0.06218218851058742,0.1330917017244152,39.977623
463,El Salvador,2029,0.05738860734267994,0.12283175606678862,0.04579296407823434,0.09801301083411558,0.06446391509725692,0.13797539722570776,39.441025
464,Czechia,2023,0.02497284090857866,0.08646846164595363,0.028579027321369802,0.09895488210024296,0.03137382179128293,0.10863185795231717,22.1583
465,Czechia,2024,0.02598174368128523,0.08996178749645016,0.029733620025153135,0.10295265933709279,0.03264132419165076,0.11302058501359082,21.486511
466,Czechia,2025,0.027010624726718654,0.0935242881162634,0.03091107595079355,0.10702960047962273,0.0339339256494516,0.11749621756122623,20.959843
467,Czechia,2026,0.02805948404487899,0.0971559635053935,0.03211139509829111,0.11118570552783298,0.035251626164685516,0.12205875559522361,20.503445
468,Czechia,2027,0.029128321635766147,0.10085681366384033,0.03333457746764573,0.1154209744817234,0.036594425737352415,0.1267081991155828,20.262161
469,Czechia,2028,0.03021713749938017,0.10462683859160392,0.03458062305885745,0.11973540734129401,0.03796232436745234,0.13144454812230383,20.258724
470,Czechia,2029,0.031325931635721074,0.1084660382886842,0.035849531871926285,0.12412900410654473,0.03935532205498533,0.13626780261538668,20.591946
471,Belgium,2022,0.032718412808910524,0.13574660633484165,0.03344014250322472,0.1387410167686984,0.040176286316823955,0.16668884748469523,52.65835
472,Belgium,2023,0.034040236686390515,0.14123076923076924,0.034791124260355,0.14434615384615382,0.04179940828402365,0.17342307692307693,52.78445
473,Belgium,2024,0.03538823529411763,0.1468235294117647,0.036168858131487874,0.15006228373702424,0.043454671280276795,0.18029065743944633,52.890396
